income,emi,expense,savings,emergency_fund,dependents,loans,insurance,risk
126958,15795,141932,365838,119879,4,4,2,1
142337,37194,97498,374871,126324,3,2,1,0
69820,769,69735,194027,64925,1,3,0,0
189779,28693,140608,156730,84478,1,3,2,1
70725,35773,129346,67435,56886,3,0,2,1
74092,3890,51606,489492,87313,3,0,1,0
179073,76552,78148,252801,124243,3,3,2,0
53555,17159,120510,106530,80077,0,3,1,1
24457,66557,88953,315139,171829,4,1,1,1
42065,32606,21534,487879,40397,3,0,1,1
60591,23247,34300,467281,82798,4,1,0,0
175171,8571,48044,313358,192300,0,0,2,0
7568,62592,143767,124375,179262,2,2,0,1
169231,13986,71858,129312,12666,4,1,2,1
69505,52251,32662,270536,30535,3,1,0,1
94135,35222,87373,472791,123684,2,3,1,0
29538,70592,123252,139182,158338,0,4,1,1
103806,6910,120989,90982,121626,0,1,1,1
28419,50636,60015,248550,122096,3,4,1,1
110878,71910,72623,474950,75450,2,3,1,1
114225,64044,119556,2693,95259,3,3,1,1
179013,21834,28047,288249,75766,3,0,2,0
130117,23776,138376,460058,192445,0,3,0,0
60016,9474,31959,136602,119101,4,0,2,0
18545,66199,83530,355701,61087,0,3,0,1
56005,46576,49353,193075,52733,1,2,0,1
72172,26736,122859,374325,131926,4,0,0,0
182789,50859,135657,235167,157381,3,2,2,1
148760,25342,116308,445299,106081,2,0,0,0
178179,51663,25708,354050,49811,3,2,2,0
129249,34754,143983,460486,139752,0,1,0,0
137874,8155,49384,374705,47254,1,2,2,0
51843,16371,121472,133121,162688,3,4,0,1
34855,61434,17400,380002,173714,2,3,1,1
131071,59040,22183,422515,143946,0,3,1,0
189423,61267,136063,133629,38360,2,0,0,1
183047,21357,129121,77505,2869,2,4,0,1
99179,38467,33328,353556,135059,2,0,0,0
112450,40818,29830,410645,137965,4,2,1,0
141967,19738,40746,49377,179476,0,3,2,1
112455,5600,103179,171836,45714,3,2,0,1
110983,73744,134123,411805,43484,4,2,0,1
38828,18711,13420,358896,131373,4,2,0,0
129019,65726,125668,494495,6102,0,2,1,0
170656,32745,113746,493415,182957,1,1,2,0
87074,10729,115864,393002,105510,4,1,2,1
185761,50993,39592,272791,139788,3,1,2,0
